      1 Niekrasz, John
      1 Ni, Jinjie
      1 Niu, Shuzi
      1 Nori, Harsha
      1 Nyberg, Eric
      1 Ostendorf, Mari
      1 {others}
      1 Palangi, Hamid
      1 Pandelea, Vlad
      1 Parikh, Devi
      1 Parmar, Niki
      1 Parreiras, Fernando Silva
      1 Peng, Nanyun
      1 Perez, Ethan
      1 Peskin, B
      1 Peters, Megan A K
      1 Peters, Stanley
      1 Petroni, Fabio
      1 Pfau, T
      1 Pineau, Joelle
      1 Polosukhin, Illia
      1 Post, Wilfried
      1 Pow, Nissan
      1 Prabhakar, Akshara
      1 Purver, Matthew
      1 Qin, Bing
      1 Qin, Jinghui
      1 Rahimi, Ali
      1 Rajani, Nazneen Fatema
      1 Reddy, Siva
      1 Reidsma, Dennis
      1 Reimers, Nils
      1 Ribeiro, Marco Tulio
      1 Richardson, Christopher
      1 Riedhammer, Korbinian
      1 Ritter, Alan
      1 Rockt{\
      1 Romero, Adriana
      1 Roof, Brendan
      1 Roy, Abhinaba
      1 Roy, Scott
      1 Rush, Alexander M
      1 Santofimia, Maria J
      1 Schockaert, Steven
      1 Schoenick, Carissa
      1 Schuurmans, Dale
      1 Schwartz, Roy
      1 Schwitzgebel, Eric
      1 Serban, Iulian
      1 Seth, Anil K
      1 Shah, P
      1 Shazeer, Noam
      1 Shen, Xiaoyu
      1 Shou, Linjun
      1 Shriberg, E
      1 Shriberg, Elizabeth
      1 Siddique, A B
      1 Silva, Jo{\~a}o Ricardo
      1 Simon, Jonathan
      1 Singh, P
      1 Singh, Shikhar
      1 Smith, Noah A
      1 Socher, Richard
      1 Song, Dawn
      1 Speer, Robyn
      1 Steinhardt, Jacob
      1 Stolcke, A
      1 Stolcke, Andreas
      1 Storks, Shane
      1 Strope, Brian
      1 Subba, R
      1 Su, Hui
      1 Sun, Kai
      1 Sun, Le
      1 Sutskever, Ilya
      1 Szekely, Pedro
      1 Szlam, Arthur
      1 Tafjord, Oyvind
      1 Talmor, Alon
      1 Tien, Jing
      1 Toutanova, Kristina
      1 Trinh, Trieu H
      1 Tu, Geng
      1 Upadhyay, Shyam
      1 Urbanek, Jack
      1 Uszkoreit, Jakob
      1 van Gaal, Simon
      1 VanRullen, Rufin
      1 Varshney, Deeksha
      1 Vaswani, Ashish
      1 Veli{\v c}kovi{\'c}, Petar
      1 Vergyri, Dimitra
      1 Voss, Lynn
      1 Vrajitoru, Dana
      1 Wang, Di
      1 Wang, Han
      1 Wang, Weiping
      1 Wang, Xinpeng
      1 Wang, Xuezhi
      1 Wang, Yi-Chia
      1 Wawer, Aleksander
      1 Wei, Jason
      1 Wellner, Pierre
      1 Wen, Nuan
      1 Wooters, C
      1 Wu, Sixing
      1 Wu, Te-Lin
      1 Wu, Yu
      1 Wu, Zhonghai
      1 Xia, Fei
      1 Xiao, Yanghua
      1 Xiong, Caiming
      1 Xue, Fuzhao
      1 Xu, Feifei
      1 Xu, Luxun
      1 Xu, Ruifeng
      1 Xu, Yichong
      1 Yang, Deqing
      1 Yang, Diyi
      1 Yang, Fan
